GRDC;GSIM;Error_m3/s;NRMSE;KGE;T-test;F-test;Distance_m;Months;Station_grdc;Station_gsim;River_grdc;River_gsim;Agree
4113361;US_0003781;0.251;0.001510683;1;0.992704221;0.498781565;3;412;NEAR COOPERSTOWN, ND;NEAR COOPERSTOWN, ND;SHEYENNE RIVER;SHEYENNE RIVER;1
4113362;US_0003784;0.012;1.01E-05;1;1.00E+00;5.00E-01;277;20;VALLEY CITY, ND;AT VALLEY CITY, ND;SHEYENNE RIVER;SHEYENNE RIVER;1
4113363;US_0003785;0.206;0.000898266;1;0.995334258;0.49923443;330;413;LISBON, ND;AT LISBON, ND;SHEYENNE RIVER;SHEYENNE RIVER;1
4113364;US_0003786;0.214;0.000522245;1;0.99777495;0.499646154;6;414;NEAR KINDRED, ND;NEAR KINDRED, ND;SHEYENNE RIVER;SHEYENNE RIVER;1
4113365;US_0003787;0.186;0.000549732;1;0.997840183;0.49963217;4;411;WEST FARGO, ND;AT WEST FARGO, ND;SHEYENNE RIVER;SHEYENNE RIVER;1
4113400;US_0003841;0.264;0.000104184;1;0.999260564;0.499911826;8;413;NEAR BANTRY, ND;NEAR BANTRY, ND;SOURIS RIVER;SOURIS RIVER;1
4113401;US_0003838;0.239;2.04E-05;1;1.00E+00;5.00E-01;4;412;NEAR VERENDRYE, ND;NEAR VERENDRYE, ND;SOURIS RIVER;SOURIS RIVER;1
4113402;US_0003837;0.249;9.87E-05;1;0.999242284;0.499985464;6;412;ABOVE MINOT, ND;ABOVE MINOT, ND;SOURIS RIVER;SOURIS RIVER;1
4113404;US_0003840;0.243;5.14E-05;0.9997;9.99E-01;5.00E-01;1438;420;NEAR KARLSRUHE, ND;NEAR KARLSRUHE, ND;WINTERING RIVER;WINTERING RIVER;1
4113405;US_0003842;0.11;0.000177424;1;0.999140692;0.499768344;882;408;NEAR WILLOW CITY, ND;NEAR WILLOW CITY, ND;WILLOW CREEK;WILLOW CREEK;1
4113409;CA_0003171;7.593;0.021502782;0.9985;0.899607336;0.072399332;4;380;NEAR WESTHOPE, ND;NEAR WESTHOPE;SOURIS RIVER;SOURIS RIVER;1
4113410;US_0003834;0.225;1.18E-05;0.9999;1.00E+00;5.00E-01;6;418;NEAR NOONAN, ND;NEAR NOONAN, ND;LONG CREEK;LONG CREEK;1
4113420;US_0003836;0.261;3.02E-05;0.9998;9.99E-01;5.00E-01;5;417;FOXHOLM, ND;AT FOXHOLM, ND;DES LACS RIVER;DES LACS RIVER;1
4113500;US_0003759;0.172;6.38E-06;1;1.00E+00;5.00E-01;346;410;NEAR BABB, MT;NEAR BABB MT;SAINT MARY RIVER;ST. MARY RIVER;1
4113600;US_0003852;0.202;3.77E-06;1;1.00E+00;5.00E-01;4;411;LITTLEFORK, MINN.;AT LITTLEFORK, MN;LITTLE FORK RIVER;LITTLE FORK RIVER;1
4113900;US_0003845;0.286;3.70E-05;1;1.00E+00;5.00E-01;4;415;NEAR ELY, MINN.;NEAR ELY, MN;KAWISHIWI RIVER;KAWISHIWI RIVER;1
4114615;CA_0002030;0;0.024587684;1;0.884093543;0.377024011;3;226;EN AMONT DE LA RIVIERE HARRICANA;EN AMONT DE LA RIVER HARRICANA;TURGEON, RIVIERE;TURGEON RIVER;1
4115080;US_0009012;0.184;9.11E-07;1;1.00E+00;5.00E-01;6;328;CASTLE ROCK, WA;AT CASTLE ROCK, WA;COWLITZ RIVER;COWLITZ RIVER;1
4115081;US_0009007;0.253;1.41E-06;1;1.00E+00;5.00E-01;3;415;BELOW MAYFIELD DAM, WA;BELOW MAYFIELD DAM, WA;COWLITZ RIVER;COWLITZ RIVER;1
4115082;US_0008998;0.178;0.005177985;1;0.9856617;0.478702926;5;423;PACKWOOD, WA;AT PACKWOOD, WA;COWLITZ RIVER;COWLITZ RIVER;1
4115100;US_0008951;0.422;4.86E-07;1;1.00E+00;5.00E-01;3;413;SALEM, OR;AT SALEM, OR;WILLAMETTE RIVER;WILLAMETTE RIVER;1
4115101;US_0008989;103.113;0.000573168;0.9999;0.998869829;0.498937731;180;410;PORTLAND, OR;AT PORTLAND, OR;WILLAMETTE RIVER;WILLAMETTE RIVER;1
4115102;US_0008922;0.238;6.24E-07;1;1.00E+00;5.00E-01;0;411;HARRISBURG, OR;AT HARRISBURG, OR;WILLAMETTE RIVER;WILLAMETTE RIVER;1
4115105;US_0008917;0.156;2.01E-06;1;1.00E+00;5.00E-01;6;304;NEAR WALTERVILLE, OR;NEAR WALTERVILLE, OR;MCKENZIE RIVER;MCKENZIE RIVER;1
4115106;US_0008914;0.19;2.10E-06;1;1.00E+00;5.00E-01;6;415;NEAR VIDA, OR;NEAR VIDA, OR;MCKENZIE RIVER;MCKENZIE RIVER;1
4115200;US_0008856;3.24;7.74E-07;1;1.00E+00;5.00E-01;1842;411;THE DALLES, OR;AT THE DALLES, OR;COLUMBIA RIVER;COLUMBIA RIVER;1
4115201;US_0009015;759.868;0.000564855;0.9999;0.999197616;0.498850152;68;277;BEAVER ARMY TERMINAL NEAR QUINCY, OR;AT BEAVER ARMY TERMINAL NEAR QUINCY,OR;COLUMBIA RIVER;COLUMBIA RIVER;1
4115202;US_0008546;2.126;7.72E-07;1;1.00E+00;5.00E-01;6;412;BELOW PRIEST RAPIDS DAM, WA;BELOW PRIEST RAPIDS DAM, WA;COLUMBIA RIVER;COLUMBIA RIVER;1
4115203;US_0008537;2.133;2.62E-06;1;1.00E+00;5.00E-01;6;417;BELOW ROCK ISLAND DAM, WA;BELOW ROCK ISLAND DAM, WA;COLUMBIA RIVER;COLUMBIA RIVER;1
4115204;US_0008530;2.111;8.08E-07;1;1.00E+00;5.00E-01;1;419;ROCKY REACH DAM, WA;AT ROCKY REACH DAM, WA;COLUMBIA RIVER;COLUMBIA RIVER;1
4115205;US_0008524;2.078;7.75E-07;1;1.00E+00;5.00E-01;5;418;BELOW WELLS DAM, WA;BELOW WELLS DAM, WA;COLUMBIA RIVER;COLUMBIA RIVER;1
4115206;US_0008512;1.937;8.61E-07;1;1.00E+00;5.00E-01;3;415;GRAND COULEE, WA;AT GRAND COULEE, WA;COLUMBIA RIVER;COLUMBIA RIVER;1
4115210;US_0008861;0.178;2.46E-06;1;1.00E+00;5.00E-01;3;423;NEAR PITT, WA;NEAR PITT, WA;KLICKITAT RIVER;KLICKITAT RIVER;1
4115211;US_0008857;0.144;1.99E-05;1;1.00E+00;5.00E-01;6;282;ABOVE WEST FORK NEAR GLENWOOD, WA;ABOVE WEST FORK NEAR GLENWOOD, WA;KLICKITAT RIVER;KLICKITAT RIVER;1
4115220;US_0008817;0.176;1.85E-06;1;1.00E+00;5.00E-01;6;420;SERVICE CREEK, OR;AT SERVICE CREEK, OR;JOHN DAY RIVER;JOHN DAY RIVER;1
4115221;US_0008820;0.178;1.94E-06;1;1.00E+00;5.00E-01;3;404;MCDONALD FERRY, OREG;AT MCDONALD FERRY, OR;JOHN DAY RIVER;JOHN DAY RIVER;1
4115222;US_0008811;0.205;4.02E-05;1;1.00E+00;5.00E-01;297;395;NEAR JOHN DAY, OR;NEAR JOHN DAY, OR;JOHN DAY RIVER;JOHN DAY RIVER;1
4115223;US_0008816;0.197;2.81E-06;1;1.00E+00;5.00E-01;7;417;MONUMENT, OR;AT MONUMENT, OR;NORTH FORK JOHN DAY RIVER;NORTH FORK JOHN DAY RIVER;1
4115224;US_0008815;0.232;1.87E-05;1;1.00E+00;5.00E-01;5;419;RITTER, OR;AT RITTER, OR;MIDDLE FORK JOHN DAY RIVER;MIDDLE FORK JOHN DAY RIVER;1
4115225;US_0008839;0.117;1.60E-05;1;1.00E+00;5.00E-01;4;134;NEAR PRINEVILLE, OR;NEAR PRINEVILLE, OR;CROOKED RIVER;CROOKED RIVER;1
4115226;US_0008841;0.292;9.00E-06;1;1.00E+00;5.00E-01;5;426;BELOW OPAL SPRINGS NEAR CULVER, OR;BELOW OPAL SPRINGS, NEAR CULVER, OR;CROOKED RIVER;CROOKED RIVER;1
4115230;US_0008535;0.178;1.57E-06;1;1.00E+00;5.00E-01;616;418;PESHASTIN, WA;AT PESHASTIN, WA;WENATCHEE RIVER;WENATCHEE RIVER;1
4115231;US_0008536;0.185;2.97E-05;1;1.00E+00;5.00E-01;3;417;MONITOR, WA;AT MONITOR, WA;WENATCHEE RIVER;WENATCHEE RIVER;1
4115235;US_0008523;0.173;1.97E-06;1;1.00E+00;5.00E-01;5;421;NEAR PATEROS, WA;NEAR PATEROS, WA;METHOW RIVER;METHOW RIVER;1
4115236;US_0008520;0.13;2.46E-06;1;1.00E+00;5.00E-01;2;307;WINTHROP, WA;AT WINTHROP, WA;METHOW RIVER;METHOW RIVER;1
4115240;US_0008803;0.179;5.82E-06;1;1.00E+00;5.00E-01;4;415;NEAR UMATILLA, OR;NEAR UMATILLA, OR;UMATILLA RIVER;UMATILLA RIVER;1
4115241;US_0008793;0.252;3.09E-05;1;1.00E+00;5.00E-01;3;419;ABOVE MEACHAM CREEK NEAR GIBBON, OR;ABOVE MEACHAM CREEK, NEAR GIBBON, OR;UMATILLA RIVER;UMATILLA RIVER;1
4115250;US_0008792;0.193;7.53E-06;1;1.00E+00;5.00E-01;4;410;NEAR TOUCHET, WA;NEAR TOUCHET, WA;WALLA WALLA RIVER;WALLA WALLA RIVER;1
4115260;US_0008564;0.184;2.46E-05;1;1.00E+00;5.00E-01;4;413;KIONA, WA;AT KIONA, WA;YAKIMA RIVER;YAKIMA RIVER;1
4115261;US_0008558;0.187;1.39E-06;1;1.00E+00;5.00E-01;2;420;ABOVE AHTANUM CREEK AT UNION GAP, WA;AT UNION GAP, WA;YAKIMA RIVER;YAKIMA RIVER ABOVE AHTANUM CREEK;1
4115262;US_0008552;0.187;2.33E-06;1;1.00E+00;5.00E-01;5;432;UTANUM, WA;AT UMTANUM, WA;YAKIMA RIVER;YAKIMA RIVER;1
4115270;US_0008545;0.188;7.17E-05;1;1.00E+00;5.00E-01;7;418;NEAR BEVERLY, WA;ABOVE CREEK NEAR BEVERLY, WA;CRAB CREEK;C;1
4115280;US_0008855;0.197;1.81E-06;1;1.00E+00;5.00E-01;336;410;MOODY NEAR BIGGS, OR;AT MOODY, NEAR BIGGS, OR;DESCHUTES RIVER;DESCHUTES RIVER;1
4115281;US_0008846;0.232;4.47E-06;1;1.00E+00;5.00E-01;157;418;NEAR MADRAS, OR;NEAR MADRAS, OR;DESCHUTES RIVER;DESCHUTES RIVER;1
4115282;US_0008837;0.199;9.23E-06;1;1.00E+00;5.00E-01;6;423;NEAR CULVER, OR;NEAR CULVER, OR;DESCHUTES RIVER;DESCHUTES RIVER;1
4115290;US_0008526;0.334;6.31E-06;1;1.00E+00;5.00E-01;4;425;CHELAN, WA;AT CHELAN, WA;CHELAN RIVER;CHELAN RIVER;1
4115300;US_0008515;0.174;1.18E-06;1;1.00E+00;5.00E-01;4;417;NEAR TONASKET, WA;NEAR TONASKET, WA;OKANOGAN RIVER;OKANOGAN RIVER;1
4115301;US_0008516;0.186;3.25E-05;1;1.00E+00;5.00E-01;4;418;MALOTT, WA;AT MALOTT, WA;OKANOGAN RIVER;OKANOGAN RIVER;1
4115305;US_0008514;0.195;1.38E-06;1;1.00E+00;5.00E-01;1;422;NEAR NIGHTHAWK, WA;NEAR NIGHTHAWK, WA;SIMILKAMEEN RIVER;SIMILKAMEEN RIVER;1
4115310;US_0008479;0.193;1.03E-05;1;1.00E+00;5.00E-01;3;418;NEAR FERRY, WA;NEAR FERRY, WA;KETTLE RIVER;KETTLE RIVER;1
4115311;US_0008480;0.187;1.24E-06;1;1.00E+00;5.00E-01;5;417;NEAR LAURIER, WA;NEAR LAURIER, WA;KETTLE RIVER;KETTLE RIVER;1
4115320;US_0008400;0.077;1.31E-06;1;1.00E+00;5.00E-01;81;124;LIBBY, MT;AT LIBBY MT;KOOTENAY RIVER;KOOTENAI RIVER;1
4115321;US_0008405;0.116;1.28E-06;1;1.00E+00;5.00E-01;1884;150;NEAR COPELAND, ID;NEAR COPELAND ID;KOOTENAY RIVER;KOOTENAI RIVER;1
4115322;US_0008406;0.022;8.67E-07;1;1.00E+00;5.00E-01;112;25;PORTHILL, ID;AT PORTHILL ID;KOOTENAY RIVER;KOOTENAI RIVER;1
4115330;US_0008447;0.162;3.73E-05;1;1.00E+00;5.00E-01;37;408;NEAR WEST GLACIER, MT (MIDDLE FORK);NEAR WEST GLACIER MT;FLATHEAD RIVER;M F FLATHEAD RIVER;1
4115331;US_0008466;0.264;7.08E-07;1;1.00E+00;5.00E-01;69;379;PERMA, MT;AT PERMA MT;FLATHEAD RIVER;FLATHEAD RIVER;1
4115332;US_0008457;0.273;7.20E-07;1;1.00E+00;5.00E-01;13;416;NEAR POISON, MT;NEAR POLSON MT;FLATHEAD RIVER;FLATHEAD RIVER;1
4115333;US_0008448;0.081;0.000595072;1;0.997711707;0.498841523;24;216;ABOVE TWIN CREEK (SOUTH FORK);ABOVE TWIN CREEK NEAR HUNGRY HORSE MT;FLATHEAD RIVER;S F FLATHEAD RIVER;1
4115340;US_0008434;0.167;1.70E-06;1;1.00E+00;5.00E-01;29;423;NEAR BONNER, MT;NEAR BONNER MT;BLACKFOOT RIVER;BLACKFOOT RIVER;1
4115344;US_0008420;0.202;1.57E-05;1;1.00E+00;5.00E-01;30;417;DEER LODGE, MT;AT DEER LODGE MT;CLARK FORK;CLARK FORK;1
4115345;US_0008446;0.197;6.07E-07;1;1.00E+00;5.00E-01;66;410;ST. REGIS, MT;AT ST. REGIS MT;CLARK FORK;CLARK FORK;1
4115346;US_0008470;0.383;1.36E-05;1;1.00E+00;5.00E-01;115;397;WHITEHORSE RAPIDS NEAR CABINET, ID;AT WHITEHORSE RAPIDS NEAR CABINET ID;CLARK FORK;CLARK FORK;1
4115347;US_0008467;0.358;4.93E-07;1;1.00E+00;5.00E-01;81;416;NEAR PLAINS, MT;NEAR PLAINS MT;CLARK FORK;CLARK FORK;1
4115349;US_0008435;0.171;1.05E-06;1;1.00E+00;5.00E-01;43;421;ABOVE MISSOULA, MT;ABOVE MISSOULA MT;CLARK FORK;CLARK FORK;1
4115350;US_0008495;0.146;1.49E-06;1;1.00E+00;5.00E-01;101;339;NEAR CATALDO, ID;NEAR CATALDO ID;COEUR D'ALENE RIVER;COEUR D ALENE RIVER;1
